   0.00000000       0.00000000       0.00000000       0.00000000       0.00000000       0.00000000    
   5.99999952       10.1963053       8.48528194       8.28928185       10.3923054       5.80399990    
   11.9999990       20.0006104       16.9705639       16.1865635       20.7846107       11.2159996    
   18.0000000       29.4129162       25.4558449       23.6918449       31.1769161       16.2360001    
   24.0000000       38.4332237       33.9411278       30.8051262       41.5692253       20.8640022    
   30.0000019       47.0615311       42.4264107       37.5264091       51.9615326       25.1000023    
   36.0000038       55.2978363       50.9116936       43.8556900       62.3538399       28.9440022    
   42.0000038       63.1421432       59.3969803       49.7929764       72.7461472       32.3960037    
   48.0000038       70.5944443       67.8822632       55.3382568       83.1384506       35.4560013    
   54.0000076       77.6547546       76.3675461       60.4915390       93.5307617       38.1240005    
   60.0000038       84.3230591       84.8528214       65.2528152       103.923065       40.4000015    
   66.0000000       90.5993576       93.3380966       69.6220932       114.315361       42.2839966    
   71.9999924       96.4836502       101.823372       73.5993729       124.707649       43.7759933    
   77.9999847       101.975952       110.308647       77.1846542       135.099945       44.8759995    
   83.9999771       107.076263       118.793915       80.3779297       145.492249       45.5839958    
   89.9999695       111.784554       127.279190       83.1792068       155.884537       45.8999939    
   95.9999695       116.100868       135.764465       85.5884933       166.276840       45.8239975    
   101.999962       120.025162       144.249741       87.6057739       176.669128       45.3560028    
   107.999954       123.557465       152.735016       89.2310638       187.061417       44.4960060    
   113.999947       126.697769       161.220276       90.4643250       197.453720       43.2440033    
   119.999939       129.446075       169.705551       91.3056183       207.846008       41.6000137    
   125.999947       131.802399       178.190842       91.7549057       218.238327       39.5640182    
   131.999939       133.766693       186.676117       91.8121948       228.630615       37.1360168    
   137.999924       135.338989       195.161392       91.4774857       239.022903       34.3160324    
   143.999924       136.519318       203.646667       90.7507706       249.415207       31.1040421    
   149.999924       137.307602       212.131927       89.6320343       259.807495       27.5000305    
   155.999908       137.703934       220.617203       88.1213379       270.199799       23.5040588    
   161.999908       137.708252       229.102478       86.2186279       280.592102       19.1160736    
   167.999893       137.320541       237.587753       83.9239197       290.984375       14.3360748    
   173.999893       136.540848       246.073029       81.2371979       301.376678       9.16407776    
   179.999893       135.369171       254.558304       78.1584930       311.768982       3.60008240    
   185.999878       133.805496       263.043579       74.6877899       322.161285      -2.35589600    
   191.999878       131.849777       271.528839       70.8250580       332.553558      -8.70388794    
   197.999863       129.502106       280.014130       66.5703735       342.945862      -15.4438782    
   203.999863       126.762436       288.499390       61.9236603       353.338165      -22.5758514    
   209.999863       123.630737       296.984680       56.8849792       363.730438      -30.0998230    
   215.999847       120.107056       305.469940       51.4542542       374.122742      -38.0158234    
   221.999847       116.191376       313.955200       45.6315308       384.515045      -46.3238068    
   227.999832       111.883698       322.440491       39.4168396       394.907349      -55.0238037    
   233.999832       107.184021       330.925751       32.8101501       405.299622      -64.1157532    
   239.999832       102.092316       339.411041       25.8114319       415.691925      -73.5997620    
   245.999832       96.6086426       347.896332       18.4207153       426.084259      -83.4757690    
   251.999863       90.7329407       356.381653       10.6380005       436.476593      -93.7437744    
   257.999878       84.4652100       364.866943       2.46322632       446.868927      -104.403809    
   263.999908       77.8055115       373.352264      -6.10351562       457.261292      -115.455872    
   269.999939       70.7537537       381.837585      -15.0622864       467.653625      -126.899933    
   275.999939       63.3100586       390.322906      -24.4129944       478.045959      -138.735931    
   281.999969       55.4743347       398.808197      -34.1557922       488.438324      -150.963989    
   288.000000       47.2466431       407.293518      -44.2904968       498.830658      -163.584015    
   294.000031       38.6268616       415.778839      -54.8172913       509.222992      -176.596100    
   300.000031       29.6151733       424.264160      -65.7360229       519.615356      -190.000122    
   306.000061       20.2114258       432.749451      -77.0468140       530.007690      -203.796173    
   312.000092       10.4156494       441.234772      -88.7496033       540.400024      -217.984283    
   318.000092      0.227905273       449.720093      -100.844360       550.792358      -232.564331    
   324.000122      -10.3518066       458.205414      -113.331146       561.184753      -247.536407    
   330.000153      -21.3235474       466.690704      -126.209930       571.577087      -262.900452    
   336.000183      -32.6873169       475.176025      -139.480713       581.969421      -278.656555    
   342.000183      -44.4430542       483.661346      -153.143463       592.361755      -294.804596    
   348.000214      -56.5908203       492.146667      -167.198242       602.754089      -311.344666    
   354.000244      -69.1306152       500.631958      -181.645081       613.146423      -328.276764    
   360.000275      -82.0623169       509.117279      -196.483856       623.538818      -345.600861    
   366.000275      -95.3861084       517.602600      -211.714661       633.931152      -363.316956    
   372.000305      -109.101868       526.087891      -227.337463       644.323486      -381.425018    
   378.000336      -123.209656       534.573242      -243.352234       654.715820      -399.925110    
   384.000366      -137.709412       543.058533      -259.759033       665.108154      -418.817200    
   390.000366      -152.601257       551.543884      -276.557861       675.500488      -438.101349    
   396.000397      -167.884949       560.029175      -293.748657       685.892883      -457.777405    
   402.000427      -183.560730       568.514465      -311.331482       696.285217      -477.845490    
   408.000458      -199.628540       576.999817      -329.306274       706.677551      -498.305634    
   414.000458      -216.088379       585.485107      -347.673157       717.069885      -519.157776    
   420.000488      -232.940186       593.970398      -366.432007       727.462219      -540.401855    
   426.000519      -250.183899       602.455750      -385.582764       737.854614      -562.037964    
   432.000519      -267.819702       610.941040      -405.125610       748.246948      -584.066101    
   438.000549      -285.847534       619.426392      -425.060425       758.639282      -606.486206    
   444.000580      -304.267334       627.911682      -445.387268       769.031616      -629.298340    
   450.000610      -323.079102       636.396973      -466.106079       779.423950      -652.502441    
   456.000610      -342.282959       644.882324      -487.216919       789.816284      -676.098633    
   462.000641      -361.878723       653.367615      -508.719788       800.208679      -700.086731    
